size,bath,balcony,price,total_sqft,area_type_Built-up Area,area_type_Carpet Area,area_type_Plot Area,area_type_Super built-up Area
0.2191648243116789,0.31352810876446807,0.507306953367079,115.0,0.7643316988817472,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-1.9415678007603834,44.0,-0.31139442102442,0.0,0.0,0.0,1.0
0.2191648243116789,0.31352810876446807,0.507306953367079,72.0,-0.11948488123315977,0.0,0.0,0.0,1.0
0.2191648243116789,1.1306619515822105,1.73174433043081,129.0,0.35211344973370395,0.0,0.0,1.0,0.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,53.0,-0.34300355733174287,0.0,0.0,1.0,0.0
1.05073090972787,1.9477957943999529,0.507306953367079,395.0,0.7643316988817472,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,37.0,-0.5050251226075301,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,38.55,-0.3165579063999696,0.0,0.0,0.0,1.0
,,,,,0.0,0.0,0.0,1.0
-1.4439673465207032,-1.3207395768710166,-1.9415678007603834,35.475,-0.5910832122000235,1.0,0.0,0.0,0.0
0.2191648243116789,0.31352810876446807,-0.7171304236966521,94.71,0.007881091363730438,1.0,0.0,0.0,0.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,68.0,-0.2554566627892993,0.0,0.0,1.0,0.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,45.0,-0.2683653762281733,,,,
1.05073090972787,2.764929637217695,-0.7171304236966521,948.0,2.786696804305342,,,,
0.2191648243116789,-0.5036057340532742,0.507306953367079,65.0,-0.12120604302500963,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,65.5,-0.33032720073476857,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,1.73174433043081,55.0,-0.2038218090338033,1.0,0.0,0.0,0.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,39.0,-0.4232699374946614,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,42.0,-0.3389330096940179,0.0,0.0,0.0,1.0
0.2191648243116789,-0.5036057340532742,0.507306953367079,75.0,-0.036008534328441186,0.0,0.0,0.0,1.0
0.2191648243116789,-0.5036057340532742,-0.7171304236966521,40.0,-0.5497753291956267,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-1.9415678007603834,280.0,1.9347217173396574,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,64.08,-0.3002068693773959,0.0,0.0,0.0,1.0
0.2191648243116789,0.31352810876446807,-1.9415678007603834,580.0,1.9691449531766547,0.0,0.0,0.0,1.0
0.2191648243116789,0.31352810876446807,-0.7171304236966521,120.0,0.0681217540784758,0.0,0.0,1.0,0.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,56.1,-0.3802408926984147,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,49.0,-0.4120823858476373,0.0,0.0,0.0,1.0
,,,,,1.0,0.0,0.0,0.0
1.05073090972787,1.1306619515822105,-1.9415678007603834,150.0,-0.5480541674037768,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,95.0,-0.08850396897986215,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,45.0,-0.3544234658206667,1.0,0.0,0.0,0.0
0.2191648243116789,0.31352810876446807,-0.7171304236966521,65.0,-0.12200638325821989,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,50.0,-0.46199607781128343,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,41.73,-0.4103612240557874,0.0,0.0,0.0,1.0
0.2191648243116789,0.31352810876446807,0.507306953367079,77.99,-0.18230728663567994,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,60.0,-0.22533633143192663,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,51.0,-0.3974525106169134,0.0,0.0,0.0,1.0
0.2191648243116789,-0.5036057340532742,-0.7171304236966521,85.0,-0.7847139137831336,0.0,0.0,1.0,0.0
0.2191648243116789,0.31352810876446807,0.507306953367079,70.0,-0.2683653762281733,0.0,0.0,0.0,1.0
,,,,,0.0,0.0,0.0,1.0
0.2191648243116789,0.31352810876446807,0.507306953367079,44.0,-0.22533633143192663,0.0,0.0,0.0,1.0
0.2191648243116789,0.31352810876446807,1.73174433043081,68.0,0.0500495552640522,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,54.5,-0.22103342695230196,1.0,0.0,0.0,0.0
0.2191648243116789,-0.5036057340532742,0.507306953367079,48.95,-0.2477114347259749,0.0,0.0,1.0,0.0
0.2191648243116789,1.1306619515822105,0.507306953367079,157.0,0.6412686307644817,0.0,0.0,1.0,0.0
1.05073090972787,0.31352810876446807,-0.7171304236966521,87.0,-0.2683653762281733,0.0,0.0,1.0,0.0
-0.6124012611045122,-0.5036057340532742,-1.9415678007603834,42.0,-0.43015458466206086,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,-0.7171304236966521,28.88,-0.4404815554131601,0.0,0.0,0.0,1.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,52.5,-0.38368321628211444,1.0,0.0,0.0,0.0
-0.6124012611045122,-0.5036057340532742,-1.9415678007603834,56.93,-0.21242761799305263,1.0,0.0,0.0,0.0
-0.6124012611045122,-0.5036057340532742,0.507306953367079,55.0,-0.3260242962551439,0.0,0.0,0.0,1.0
0.2191648243116789,0.31352810876446807,-0.7171304236966521,56.53,-0.2683653762281733,0.0,0.0,0.0,1.0
